ticker,company_name,sector,year,S_stated,A_density,A_explicit,A_dei_qual,A_targets,A_actual,S_pct,A_pct,gap,authenticity,alignment_category
TJX,The TJX Companies Inc.,Consumer Discretionary,2024,0.3333333333333333,0.0,1,0.0,0,0.25,56.97674418604651,8.13953488372093,-48.837209302325576,51.162790697674424,GREENWASH-RISK (over-claim)
TSLA,Tesla Inc.,Consumer Discretionary,2016,0.3333333333333333,0.098,0,0.0,0,0.0245,62.5,15.0,-47.5,52.5,GREENWASH-RISK (over-claim)
TSLA,Tesla Inc.,Consumer Discretionary,2017,0.3333333333333333,0.08800000000000001,0,0.0,0,0.022000000000000002,62.82051282051282,15.384615384615385,-47.43589743589743,52.56410256410257,GREENWASH-RISK (over-claim)
TSLA,Tesla Inc.,Consumer Discretionary,2018,0.3333333333333333,0.09000000000000001,0,0.0,0,0.022500000000000003,65.55555555555556,6.666666666666667,-58.88888888888889,41.11111111111111,GREENWASH-RISK (over-claim)
TSLA,Tesla Inc.,Consumer Discretionary,2019,0.3333333333333333,0.06066666666666667,0,0.0,0,0.015166666666666667,58.88888888888889,6.666666666666667,-52.22222222222223,47.77777777777777,GREENWASH-RISK (over-claim)
TSLA,Tesla Inc.,Consumer Discretionary,2020,0.3333333333333333,0.3623333333333333,1,0.0,0,0.34058333333333335,56.52173913043478,54.347826086956516,-2.173913043478265,97.82608695652173,ALIGNED
TSLA,Tesla Inc.,Consumer Discretionary,2021,0.3333333333333333,0.06066666666666667,1,0.0,0,0.26516666666666666,60.22727272727273,18.181818181818183,-42.04545454545455,57.95454545454545,GREENWASH-RISK (over-claim)
TSLA,Tesla Inc.,Consumer Discretionary,2022,0.3333333333333333,1.0,1,0.5,0,0.625,46.73913043478261,91.30434782608695,44.565217391304344,55.434782608695656,STEALTH (under-claim)
TSLA,Tesla Inc.,Consumer Discretionary,2023,0.3333333333333333,0.13533333333333333,1,0.0,0,0.2838333333333333,53.333333333333336,20.0,-33.333333333333336,66.66666666666666,GREENWASH-RISK (over-claim)
TSLA,Tesla Inc.,Consumer Discretionary,2024,0.3333333333333333,0.0,1,0.0,0,0.25,56.97674418604651,8.13953488372093,-48.837209302325576,51.162790697674424,GREENWASH-RISK (over-claim)
COP,ConocoPhillips,Energy,2016,0.3333333333333333,0.026333333333333334,1,0.0,0,0.25658333333333333,62.5,37.5,-25.0,75.0,GREENWASH-RISK (over-claim)
COP,ConocoPhillips,Energy,2017,0.6666666666666666,0.0,1,0.0,0,0.25,91.02564102564102,30.76923076923077,-60.25641025641025,39.74358974358975,GREENWASH-RISK (over-claim)
COP,ConocoPhillips,Energy,2018,0.3333333333333333,0.21066666666666667,1,0.0,0,0.30266666666666664,65.55555555555556,53.333333333333336,-12.222222222222221,87.77777777777777,ALIGNED
COP,ConocoPhillips,Energy,2019,0.0,0.08133333333333333,1,0.0,0,0.2703333333333333,23.333333333333332,42.22222222222222,18.88888888888889,81.11111111111111,STEALTH (under-claim)
COP,ConocoPhillips,Energy,2020,0.6666666666666666,0.11066666666666666,1,0.0,0,0.2776666666666667,82.6086956521739,36.95652173913043,-45.65217391304348,54.34782608695652,GREENWASH-RISK (over-claim)
COP,ConocoPhillips,Energy,2022,0.0,0.5746666666666667,1,0.0,0,0.39366666666666666,14.130434782608695,50.0,35.869565217391305,64.13043478260869,STEALTH (under-claim)
COP,ConocoPhillips,Energy,2023,0.3333333333333333,0.463,1,0.0,0,0.36575,53.333333333333336,53.333333333333336,0.0,100.0,ALIGNED
COP,ConocoPhillips,Energy,2024,0.3333333333333333,0.6536666666666666,1,0.0,0,0.41341666666666665,56.97674418604651,74.4186046511628,17.441860465116285,82.55813953488371,STEALTH (under-claim)
CVX,Chevron Corporation,Energy,2016,0.3333333333333333,0.029,1,0.0,0,0.25725,62.5,40.0,-22.5,77.5,GREENWASH-RISK (over-claim)
CVX,Chevron Corporation,Energy,2017,0.3333333333333333,0.029333333333333333,1,0.0,0,0.25733333333333336,62.82051282051282,41.02564102564102,-21.794871794871796,78.2051282051282,GREENWASH-RISK (over-claim)
CVX,Chevron Corporation,Energy,2018,0.3333333333333333,0.8130000000000001,1,0.0,0,0.45325000000000004,65.55555555555556,86.66666666666667,21.111111111111114,78.88888888888889,STEALTH (under-claim)
CVX,Chevron Corporation,Energy,2019,0.0,1.0,1,0.0,0,0.5,23.333333333333332,93.33333333333333,70.0,30.0,STEALTH (under-claim)
CVX,Chevron Corporation,Energy,2020,0.0,0.9663333333333333,1,0.0,0,0.4915833333333333,21.73913043478261,91.30434782608695,69.56521739130434,30.434782608695656,STEALTH (under-claim)
CVX,Chevron Corporation,Energy,2021,0.0,0.9450000000000001,1,0.0,0,0.48625,23.863636363636363,75.0,51.13636363636364,48.86363636363636,STEALTH (under-claim)
CVX,Chevron Corporation,Energy,2022,0.0,0.7153333333333334,1,0.0,0,0.42883333333333334,14.130434782608695,56.52173913043478,42.391304347826086,57.608695652173914,STEALTH (under-claim)
CVX,Chevron Corporation,Energy,2023,0.0,0.9183333333333333,1,0.0,0,0.47958333333333336,20.0,80.0,60.0,40.0,STEALTH (under-claim)
CVX,Chevron Corporation,Energy,2024,0.3333333333333333,0.6473333333333334,1,0.0,0,0.4118333333333334,56.97674418604651,72.09302325581395,15.116279069767437,84.88372093023256,STEALTH (under-claim)
EOG,EOG Resources Inc.,Energy,2016,0.0,0.4003333333333333,1,0.0,0,0.3500833333333333,22.5,80.0,57.5,42.5,STEALTH (under-claim)
EOG,EOG Resources Inc.,Energy,2017,0.0,0.05266666666666667,0,0.0,0,0.013166666666666667,23.076923076923077,5.128205128205128,-17.94871794871795,82.05128205128204,GREENWASH-RISK (over-claim)
EOG,EOG Resources Inc.,Energy,2018,0.0,0.22666666666666666,1,0.0,0,0.30666666666666664,26.666666666666668,55.55555555555556,28.88888888888889,71.11111111111111,STEALTH (under-claim)
EOG,EOG Resources Inc.,Energy,2021,0.3333333333333333,0.22833333333333333,1,0.0,0,0.3070833333333333,60.22727272727273,40.909090909090914,-19.318181818181813,80.68181818181819,GREENWASH-RISK (over-claim)
EOG,EOG Resources Inc.,Energy,2022,0.3333333333333333,0.22066666666666668,1,0.0,0,0.3051666666666667,46.73913043478261,32.608695652173914,-14.130434782608695,85.86956521739131,ALIGNED
EOG,EOG Resources Inc.,Energy,2023,0.3333333333333333,0.196,1,0.0,0,0.299,53.333333333333336,31.11111111111111,-22.222222222222225,77.77777777777777,GREENWASH-RISK (over-claim)
EOG,EOG Resources Inc.,Energy,2024,0.3333333333333333,0.196,1,0.0,0,0.299,56.97674418604651,39.53488372093023,-17.441860465116278,82.55813953488372,GREENWASH-RISK (over-claim)
HES,Hess Corporation,Energy,2016,0.3333333333333333,0.14733333333333334,1,0.0,0,0.28683333333333333,62.5,60.0,-2.5,97.5,ALIGNED
HES,Hess Corporation,Energy,2017,0.0,0.051333333333333335,1,0.0,0,0.2628333333333333,23.076923076923077,46.15384615384615,23.076923076923077,76.92307692307692,STEALTH (under-claim)
HES,Hess Corporation,Energy,2018,0.0,0.0,1,0.0,0,0.25,26.666666666666668,22.22222222222222,-4.444444444444446,95.55555555555556,ALIGNED
HES,Hess Corporation,Energy,2019,0.0,0.0,1,0.0,0,0.25,23.333333333333332,26.666666666666668,3.3333333333333357,96.66666666666666,ALIGNED
HES,Hess Corporation,Energy,2020,0.0,1.0,1,0.0,0,0.5,21.73913043478261,93.47826086956522,71.73913043478261,28.26086956521739,STEALTH (under-claim)
HES,Hess Corporation,Energy,2021,0.0,1.0,1,0.0,0,0.5,23.863636363636363,80.68181818181817,56.81818181818181,43.18181818181819,STEALTH (under-claim)
HES,Hess Corporation,Energy,2022,0.0,1.0,1,0.0,0,0.5,14.130434782608695,82.6086956521739,68.47826086956522,31.52173913043478,STEALTH (under-claim)
HES,Hess Corporation,Energy,2023,0.3333333333333333,1.0,1,0.0,0,0.5,53.333333333333336,86.66666666666667,33.333333333333336,66.66666666666666,STEALTH (under-claim)
HES,Hess Corporation,Energy,2024,0.0,1.0,1,0.0,0,0.5,18.6046511627907,89.53488372093024,70.93023255813954,29.069767441860463,STEALTH (under-claim)
MPC,Marathon Petroleum Corporation,Energy,2017,0.0,0.025666666666666667,1,0.0,0,0.2564166666666667,23.076923076923077,38.46153846153847,15.38461538461539,84.61538461538461,STEALTH (under-claim)
MPC,Marathon Petroleum Corporation,Energy,2018,0.0,0.38866666666666666,1,0.0,0,0.3471666666666667,26.666666666666668,71.11111111111111,44.44444444444444,55.55555555555556,STEALTH (under-claim)
MPC,Marathon Petroleum Corporation,Energy,2019,0.6666666666666666,0.09000000000000001,1,0.0,0,0.2725,85.55555555555556,46.666666666666664,-38.88888888888889,61.11111111111111,GREENWASH-RISK (over-claim)
