ticker,diversity_mention_count_2021,theme_workforce_dei_2021,dei_qual_num_2021,diversity_mention_count_2024,theme_workforce_dei_2024,dei_qual_num_2024,prior_gap_2021_22,delta_diversity_mentions,delta_workforce_dei,delta_dei_quality,delta_diversity_mentions_z,delta_workforce_dei_z,delta_dei_quality_z,retreat_composite,prior_category
MRK,0,0,1,0,0,0,-40.21739130434783,0,0,-1,0.04452155680337113,0.4900980294098035,-0.89452027807838,-0.11996689728840178,GREENWASH-RISK
PFE,1,0,0,0,0,0,-31.694664031620558,-1,0,0,0.009809834549895332,0.4900980294098035,0.432832392618571,0.3109134188594233,GREENWASH-RISK
TMO,3,1,1,1,0,0,48.54249011857707,-2,-1,-1,-0.024901887703580466,-1.120224067222408,-0.89452027807838,-0.6798820776681228,STEALTH
UNH,0,1,1,0,0,0,-7.3616600790513855,0,-1,-1,0.04452155680337113,-1.120224067222408,-0.89452027807838,-0.656740929499139,ALIGNED
ACN,4,1,0,0,0,0,-67.34189723320159,-4,-1,0,-0.09432533221053206,-1.120224067222408,0.432832392618571,-0.26057233560478965,GREENWASH-RISK
ADBE,1,1,0,1,0,0,-13.759881422924902,0,-1,0,0.04452155680337113,-1.120224067222408,0.432832392618571,-0.2142900392668219,ALIGNED
AMD,3,0,0,2,0,0,-35.57312252964428,-1,0,0,0.009809834549895332,0.4900980294098035,0.432832392618571,0.3109134188594233,GREENWASH-RISK
AVGO,0,0,0,3,1,0,25.0,3,1,0,0.14865672356379853,2.100420126042015,0.432832392618571,0.8939697474081281,STEALTH
CRM,0,0,0,2,0,0,-18.799407114624504,2,0,0,0.11394500131032273,0.4900980294098035,0.432832392618571,0.34562514111289905,GREENWASH-RISK
INTU,18,1,2,0,0,0,20.108695652173914,-18,-1,-2,-0.5802894437591933,-1.120224067222408,-2.2218729487753306,-1.3074621532523107,STEALTH
MSFT,7,1,1,2,0,0,-31.373517786561262,-5,-1,-1,-0.12903705446400787,-1.120224067222408,-0.89452027807838,-0.7145937999215985,GREENWASH-RISK
NVDA,1,0,0,165,0,0,0.2717391304347849,164,0,0,5.737244006373403,0.4900980294098035,0.432832392618571,2.220058142800592,ALIGNED
ORCL,15,1,1,2,0,1,14.105731225296443,-13,-1,0,-0.40673083249181424,-1.120224067222408,0.432832392618571,-0.3647075023652171,ALIGNED
